Alcohol_Percent,Link,Name,Price_Pound,Region,Volume
43% abv,https://www.whiskyshop.com/bowmore-25-year-old,Bowmore 25 Year Old,379.00,Islay,70cl
43% abv,https://www.whiskyshop.com/auchentoshan-three-wood,Auchentoshan Three Wood,61.00,Lowland,70cl
45.8% abv,https://www.whiskyshop.com/talisker-port-ruighe,Talisker Port Ruighe,39.99,Island,70cl
46% abv,https://www.whiskyshop.com/inchmoan-12-year-old,Loch Lomond Inchmoan 12 Year Old,50.00,Highland,70cl
43% abv,https://www.whiskyshop.com/benromach-10-year-old,Benromach 10 Year Old,41.95,Speyside,70cl
,https://www.whiskyshop.com/the-loch-fyne-whisky-gift-pack,The Loch Fyne Whisky Taster Pack,25.00,,3x5cl
48% abv,https://www.whiskyshop.com/laphroaig-quarter-cask,Laphroaig Quarter Cask,50.00,Islay,70cl
45.8% abv,https://www.whiskyshop.com/talisker-storm,Talisker Storm,39.50,Island,70cl
46% abv,https://www.whiskyshop.com/ancnoc-18-year-old,anCnoc 18 Year Old,74.50,Highland,70cl
43% abv,https://www.whiskyshop.com/the-lost-distillery-co-auchnagie,The Lost Distillery Co. Auchnagie,50.00,,70cl
40% abv,https://www.whiskyshop.com/aberlour-12-year-old,Aberlour 12 Year Old,40.99,Speyside,70cl
40% abv,https://www.whiskyshop.com/chivas-regal-18-year-old,Chivas Regal 18 Year Old,59.50,,70cl
,https://www.whiskyshop.com/loch-lomond-taster-pack,Loch Lomond Taster Pack,26.00,Highland,3x5cl
43% abv,https://www.whiskyshop.com/caol-ila-distillers-edition,Caol Ila Distillers Edition,69.00,Islay,70cl
43% abv,https://www.whiskyshop.com/the-lost-distillery-co-gerston,The Lost Distillery Co. Gerston,43.99,,70cl
45.8% abv,https://www.whiskyshop.com/talisker-skye,Talisker Skye,45.00,Island,70cl
45.2% abv,https://www.whiskyshop.com/highland-park-fire,Highland Park Fire,190.00,Island,70cl
43% abv,https://www.whiskyshop.com/robert-burns-malt,Robert Burns Malt,39.00,Island,70cl
43% abv,https://www.whiskyshop.com/the-lost-distillery-co-jericho,The Lost Distillery Co. Jericho,50.00,,70cl
43% abv,https://www.whiskyshop.com/caol-ila-moch,Caol Ila Moch,70.00,Islay,70cl
50% abv,https://www.whiskyshop.com/glenglassaugh-torfa,Glenglassaugh Torfa,53.00,Highland,70cl
40% abv,https://www.whiskyshop.com/chivas-regal-25-year-old,Chivas Regal 25 year old,285.00,,70cl
40% abv,https://www.whiskyshop.com/dalmore-35-year-old,Dalmore 35 Year Old,"4,500.00",Highland,70cl
46.6% abv,https://www.whiskyshop.com/ardbeg-an-oa,Ardbeg An Oa,49.00,Islay,70cl
43% abv,https://www.whiskyshop.com/the-lost-distillery-co-lossit,The Lost Distillery Co. Lossit,50.00,,70cl
45% abv,https://www.whiskyshop.com/dalmore-quintessence,Dalmore Quintessence,"1,000.00",Highland,70cl
48% abv,https://www.whiskyshop.com/laphroaig-lore,Laphroaig Lore,89.00,Islay,70cl
46% abv,https://www.whiskyshop.com/old-pulteney-1983-vintage,Old Pulteney 1983 Vintage,500.00,Highland,70cl
,https://www.whiskyshop.com/aberlour-a-bunadh,Aberlour A'bunadh,79.00,Speyside,70cl
40% abv,https://www.whiskyshop.com/barley-tap-and-2-glasses,Barley Tap and 2 Glasses,80.00,Highland,35cl
40% abv,https://www.whiskyshop.com/glenfiddich-21-year-old-20cl,Glenfiddich 21 Year Old 20cl,45.00,Speyside,20cl
43% abv,https://www.whiskyshop.com/glenfiddich-ipa-experiment,Glenfiddich IPA Experiment,57.00,Speyside,70cl
40% abv,https://www.whiskyshop.com/barrel-and-2-glasses,Barrel and 2 Glasses,80.00,Highland,35cl
,https://www.whiskyshop.com/auchentoshan-gift-pack-3x20cl,Auchentoshan Gift Pack 3 x 20cl,69.00,Lowland,3x20cl
40% abv,https://www.whiskyshop.com/globe-and-4-glasses,Globe Decanter &amp; 4 Glasses,80.00,Highland,35cl
43% abv,https://www.whiskyshop.com/macallan-no-6-1824-series,Macallan No 6 1824 Series,"2,800.00",Speyside,70cl
46.3% abv,https://www.whiskyshop.com/bunnahabhain-stiuireadair,Bunnahabhain Stiuireadair,33.95,Islay,70cl
43% abv,https://www.whiskyshop.com/macallan-18-year-old-sherry-oak-2020,Macallan 18 Year Old Sherry Oak 2020,325.00,Speyside,70cl
40% abv,https://www.whiskyshop.com/shackleton-blended-malt-scotch,Shackleton Blended Malt Scotch,40.00,,70cl
46.5% abv,https://www.whiskyshop.com/dalmore-port-wood-reserve,Dalmore Port Wood Reserve,65.00,Highland,70cl
